HostName,OldIpAddress,NewIpAddress
AWSADCDR01,10.160.228.86,10.160.228.100
AWSBCMP102,10.160.126.68,10.160.228.68
AWSFDXP140,10.160.126.32,10.160.228.32
bauhspr600dr,10.160.228.101,10.160.228.110
bauhspr601,10.160.126.67,10.160.228.67
bauhspr602,10.160.126.46,10.160.228.46
MARBCMP100,10.160.126.30,10.160.228.30
MARBCMP116,10.160.126.31,10.160.228.31
MARBCMP117,10.160.126.145,10.160.228.145
MARPRTP76,10.160.126.34,10.160.228.34
MARSCAP119,10.160.126.53,10.160.228.53
MARTECP94,10.160.126.38,10.160.228.38
STRAPPP09,10.160.126.41,10.160.228.41
STRBARP23,10.160.126.55,10.160.228.55
STRBCMP129,10.160.126.149,10.160.228.149
STRBLJP132,10.160.126.45,10.160.228.45
STRBPAP36,10.160.126.47,10.160.228.47
STRSQLP05,10.160.126.50,10.160.228.50
